iter	Passed	Remaining
930	13030	965
931	13042	951
932	13057	937
933	13072	923
934	13085	909
935	13097	895
936	13113	881
937	13127	867
938	13140	853
939	13159	839
940	13176	826
941	13186	811
942	13200	797
943	13212	783
944	13224	769
945	13240	755
946	13252	741
947	13263	727
948	13274	713
949	13288	699
950	13302	685
951	13317	671
952	13331	657
953	13343	643
954	13355	629
955	13366	615
956	13378	601
957	13396	587
958	13411	573
959	13425	559
960	13440	545
961	13452	531
962	13465	517
963	13479	503
964	13494	489
965	13510	475
966	13524	461
967	13540	447
968	13557	433
969	13571	419
970	13588	405
971	13602	391
972	13618	377
973	13632	363
974	13644	349
975	13657	335
976	13670	321
977	13681	307
978	13693	293
979	13703	279
980	13716	265
981	13729	251
982	13745	237
983	13759	223
984	13772	209
985	13785	195
986	13802	181
987	13814	167
988	13827	153
989	13841	139
990	13857	125
991	13872	111
992	13886	97
993	13900	83
994	13915	69
995	13928	55
996	13942	41
997	13955	27
998	13970	13
999	13986	0
